example_id	sentence	dataset	index	guideline	type	gpt_type	type_name	is_valid_gpt	is_valid_human_1	is_valid_human_2
1	they are a cancer to the world!	dynahate	7498	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
2	you and all them people are cancer	dynahate	30192	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
3	these people are a cancer to the world!	dynahate	7490	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4	a cancer to society is what they are! Terrible!	dynahate	7494	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
6	The world is full of cancer but the biggest cause are all of those are microwaves. Who made God mad? He is punishing us with this increase of cancer.	dynahate	9618	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
7	The neighbors living rent free in your house are your cancer	dynahate	22633	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
8	Purity culture is a cancer and all gay people deserve to live like everyone else	dynahate	30896	disease	4	4	Advocacy for Protected Groups	1	1	1
9	Jews were viewed as polluters, a cancer on German society	dynahate	38205	disease	3	3	Neutral analytical discussion	1	1	1
10	Living in Turkey is a constant source of cancer, it's no different than China to me.	dynahate	21121	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
12	covid is the new cancer, it's goinig to get us all if we don't get a better government in place	dynahate	4060	disease	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
13	There is so much c@nc3r in the world but im more worried about the spread of aids	dynahate	9620	disease	3	3	Neutral analytical discussion	1	1	1
14	There is a higher incidence of certain cancers in black and minority ethnic communities and the general incidence of cancer in these communities is rising.	dynahate	8393	disease	3	3	Neutral analytical discussion	0	1	1
16	they are a legitimate threat to humanity! A plague!	dynahate	7496	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
21	illness is fucking up this country	dynahate	15224	disease	3	2	Neutral analytical discussion	1	1	1
22	To use a medical analogy about our struggle with the left. The UK is being plagued by a metastasizing cancer called Socialism. Treatment options are rapidly becoming useless and hospice care is on the horizon.	dynahate	24589	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
24	Cancer is more common in White and Black males than in Asian males, England	dynahate	11927	disease	3	3	Neutral analytical discussion	0	1	1
25	Asians are treated as if they were some kind of nasty plague	dynahate	35565	disease	3	3	Neutral analytical discussion	1	1	1
31	Having coronavirus is better than having cancer	dynahate	10983	disease	3	2	Neutral analytical discussion	1	1	1
35	"Cervical cancer is something that kills women but language has to be adjusted because of the ""feelings"" of men. I'm so angry and upset and frustrated"	dynahate	27140	disease	3	3	Neutral analytical discussion	0	1	1
36	"""So, they're saying that someone who believes they're male but has a vulva and associated accoutrements can get cervical cancer...this is correct. However, their beliefs do not change their literal physical 'package'. Wouldn't we be better served by helping those who actually suffer from dysphoria become comfortable in the body they were born in? Or I suppose we could institutionalise them, and remove them from society as they so obviously don't fit. We have no responsibility to pander to their delusions, especially because it significantly harms their chances for social integration to allow them to hold on to their mental illness. Trans acceptance is abuse"" - This is probably the most hateful, sickest comment I've read today. Shame!"	dynahate	32170	disease	1	1	Counter hate or referencing hate	0	1	1
49	I'm quite sure the patients kill themselves before cancer does.	dynahate	33960	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
52	Our country is a cancer-ridden walking corpse. Its disease is too deeply rooted to return back to a whole healthy being. Thus, major amputations need to be made.	dynahate	20177	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
55	Left wing universities are how the cancer that is communism metastasizes and takes root in other countries.	dynahate	32339	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
62	Honestly, I just figured orcs were unhappy because their faces are full of cancer.	dynahate	15870	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
84	Many research studies have shown that people who drink alcohol have an increased cancer risk. It sounds like a shame but they deserve it really	dynahate	7571	disease	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
87	viruses are a true plagu�� on our wellb3!ng	dynahate	9738	disease	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
98	I dont think fags are that amazing. They're basically just cancer sticks. Why else do you bum a smoke?	dynahate	3939	disease	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
102	"It is wrong to associate a particular group with a disease, such as saying that all black people have a particular disease. Everyone deserves to be treated with respect and dignity, regardless of race, ethnicity, or religion."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
103	"It is wrong to say that a person is diseased because of their race. Let us work together to find ways to embrace our individual and collective differences, and strive to create an equitable and just society for all."""	gpt	-1	disease	1	1	Counter hate or referencing hate	-1	1	-1
